Maximized_for_Method,Preprocessing_Method,LS_Mean,LS_Std,LS_Shapiro_Stat,LS_Shapiro_Pval,LS_Ttest_Stat,LS_Ttest_Pval,LDA_Mean,LDA_Std,LDA_Shapiro_Stat,LDA_Shapiro_Pval,LDA_Ttest_Stat,LDA_Ttest_Pval,SVM_Mean,SVM_Std,SVM_Shapiro_Stat,SVM_Shapiro_Pval,SVM_Ttest_Stat,SVM_Ttest_Pval,Num_Subjects
RPCA_L,CAR,56.904761904761905,14.397381029161735,0.9686230830152109,0.4065555581713302,,,54.52380952380953,15.979011176726207,0.9791525258531085,0.7313873096412256,,,69.16666666666667,17.683280597740136,0.9689553247874125,0.41519819790682566,,,35
RPCA_L,RPCA_L,64.88095238095238,16.374998918142285,0.9384193632754272,0.050096014886065424,-2.5162378167320765,0.016747121475165022,64.28571428571429,15.788963969176525,0.9469078316507196,0.09104978831475938,-3.0725722714683377,0.004161133385062476,82.5,13.392724867071651,0.9273553604599063,0.02335967514688688,-6.2535227556108115,4.0438577801405203e-07,35
RPCA_L,RPCA_S,46.90476190476191,18.48269399530986,0.8922307645493277,0.0024605885396581234,2.2801379621008886,0.02899117555249503,25.0,0.0,1.0,1.0,10.773627428000802,1.6727057451144902e-12,56.19047619047618,22.633454058768525,0.8566622554884241,0.00032779189881406405,2.4219759917185315,0.0209182331908361,35
RPCA_L,CAR_RPCA_L,66.42857142857143,14.77150225642486,0.9614547002613303,0.25272802674963074,-3.632612873491999,0.0009151159613673653,65.11904761904762,16.489706814828526,0.9658652389703184,0.3400714113684543,-3.2318732422619894,0.0027319444289689836,81.90476190476191,17.45012328670169,0.8258877155004577,6.850325384106196e-05,-5.300346953653064,6.997952164251838e-06,35
RPCA_L,CAR_RPCA_S,48.571428571428584,18.201442717729897,0.9067761836980824,0.006045237194491107,1.870828693386971,0.06999622341096881,25.0,0.0,1.0,1.0,10.773627428000802,1.6727057451144902e-12,57.38095238095238,24.84247423420416,0.8532725664825438,0.00027382249100520357,2.1068318496650695,0.04258723641626324,35
RPCA_S,CAR,56.904761904761905,14.397381029161735,0.9686230830152109,0.4065555581713302,,,54.52380952380953,15.979011176726207,0.9791525258531085,0.7313873096412256,,,69.16666666666667,17.683280597740136,0.9689553247874125,0.41519819790682566,,,35
RPCA_S,RPCA_L,50.95238095238095,20.72796483201131,0.9603288148879641,0.2339104799864841,1.6154762722250673,0.11545062819869403,51.19047619047619,21.165715871301664,0.960052894978731,0.22949914798640952,0.8502087822555405,0.40115674697261694,58.690476190476204,24.486217142138813,0.9548120085176587,0.15918165154513855,2.320758121564202,0.026431755455485095,35
RPCA_S,RPCA_S,62.50000000000002,14.36486012285558,0.9458304841861045,0.08437172017159604,-2.035571345016184,0.049646703391611084,25.0,0.0,1.0,1.0,10.773627428000802,1.6727057451144902e-12,80.95238095238096,17.028387662798785,0.8582366436536286,0.0003565976055058883,-4.824964770402936,2.893236833612365e-05,35
RPCA_S,CAR_RPCA_L,50.95238095238095,20.72796483201131,0.9603288148879641,0.2339104799864841,1.6154762722250673,0.11545062819869403,51.19047619047619,21.165715871301664,0.960052894978731,0.22949914798640952,0.8502087822555405,0.40115674697261694,58.690476190476204,24.486217142138813,0.9548120085176587,0.15918165154513855,2.320758121564202,0.026431755455485095,35
RPCA_S,CAR_RPCA_S,62.50000000000002,14.36486012285558,0.9458304841861045,0.08437172017159604,-2.035571345016184,0.049646703391611084,25.0,0.0,1.0,1.0,10.773627428000802,1.6727057451144902e-12,80.95238095238096,17.028387662798785,0.8582366436536286,0.0003565976055058883,-4.824964770402936,2.893236833612365e-05,35
CAR_RPCA_L,CAR,56.904761904761905,14.397381029161735,0.9686230830152109,0.4065555581713302,,,54.52380952380953,15.979011176726207,0.9791525258531085,0.7313873096412256,,,69.16666666666667,17.683280597740136,0.9689553247874125,0.41519819790682566,,,35
CAR_RPCA_L,RPCA_L,66.42857142857143,14.77150225642486,0.9614547002613303,0.25272802674963074,-3.632612873491999,0.0009151159613673653,65.11904761904762,16.489706814828526,0.9658652389703184,0.3400714113684543,-3.2318732422619894,0.0027319444289689836,81.90476190476191,17.45012328670169,0.8258877155004577,6.850325384106196e-05,-5.300346953653064,6.997952164251838e-06,35
CAR_RPCA_L,RPCA_S,48.571428571428584,18.201442717729897,0.9067761836980824,0.006045237194491107,1.870828693386971,0.06999622341096881,25.0,0.0,1.0,1.0,10.773627428000802,1.6727057451144902e-12,57.38095238095238,24.84247423420416,0.8532725664825438,0.00027382249100520357,2.1068318496650695,0.04258723641626324,35
CAR_RPCA_L,CAR_RPCA_L,66.42857142857143,14.77150225642486,0.9614547002613303,0.25272802674963074,-3.632612873491999,0.0009151159613673653,65.11904761904762,16.489706814828526,0.9658652389703184,0.3400714113684543,-3.2318732422619894,0.0027319444289689836,81.90476190476191,17.45012328670169,0.8258877155004577,6.850325384106196e-05,-5.300346953653064,6.997952164251838e-06,35
CAR_RPCA_L,CAR_RPCA_S,48.571428571428584,18.201442717729897,0.9067761836980824,0.006045237194491107,1.870828693386971,0.06999622341096881,25.0,0.0,1.0,1.0,10.773627428000802,1.6727057451144902e-12,57.38095238095238,24.84247423420416,0.8532725664825438,0.00027382249100520357,2.1068318496650695,0.04258723641626324,35
CAR_RPCA_S,CAR,56.904761904761905,14.397381029161735,0.9686230830152109,0.4065555581713302,,,54.52380952380953,15.979011176726207,0.9791525258531085,0.7313873096412256,,,69.16666666666667,17.683280597740136,0.9689553247874125,0.41519819790682566,,,35
