Maximized_for_Method,Preprocessing_Method,LS_Mean,LS_Std,LS_Shapiro_Stat,LS_Shapiro_Pval,LS_Ttest_Stat,LS_Ttest_Pval,LS_Wilcoxon_Stat,LS_Wilcoxon_Pval,LDA_Mean,LDA_Std,LDA_Shapiro_Stat,LDA_Shapiro_Pval,LDA_Ttest_Stat,LDA_Ttest_Pval,LDA_Wilcoxon_Stat,LDA_Wilcoxon_Pval,SVM_Mean,SVM_Std,SVM_Shapiro_Stat,SVM_Shapiro_Pval,SVM_Ttest_Stat,SVM_Ttest_Pval,SVM_Wilcoxon_Stat,SVM_Wilcoxon_Pval,Num_Subjects
RPCA_L,CAR,84.21052631578947,9.895187870770595,0.8888511113257312,0.03071534035065315,,,,,83.7719298245614,10.106770720879748,0.8949436567163194,0.0394463424790383,,,,,92.10526315789474,7.753363828799865,0.8237159226249231,0.0025803723063061675,,,,,19
RPCA_L,RPCA_L,70.39473684210526,19.770925736113416,0.9038252011408969,0.057085002169407484,3.2586206896551735,0.004361765957066574,8.5,0.0020573493749668874,68.2017543859649,20.644341290811067,0.926602207835054,0.1499054088576721,3.805999498674171,0.0012939741424920252,12.5,0.000892675401872811,88.1578947368421,10.752325150992338,0.8451426208311603,0.005598022975600173,1.8172446879673745,0.08586679706913855,27.0,0.10819724752370144,19
RPCA_L,RPCA_S,70.6140350877193,13.550431320855619,0.8614523382032093,0.010361964831870768,4.336147358317459,0.0003979099911496879,6.5,0.0014348089240733477,69.73684210526315,14.168092372993943,0.893799174247427,0.037627152125146626,4.663547208549698,0.00019329755290596032,8.0,0.0007186137244377007,89.91228070175438,9.777849477898224,0.8257760702709741,0.0027752904692519365,1.2288478807785603,0.2349528418361488,30.5,0.29258414027383284,19
RPCA_L,CAR_RPCA_L,73.46491228070175,22.62919884125339,0.8382036919083611,0.004337972305782734,2.0862084893478863,0.051460499014933686,29.5,0.1473756186230467,71.71052631578947,22.400647580007444,0.8750913201254933,0.017653619476244026,2.6840802611644428,0.015155103851162107,16.0,0.0215535828884052,85.52631578947366,17.850931074533968,0.7192171130963634,9.50498649616975e-05,2.2896983309165293,0.03433608827366761,1.0,0.01594394825697414,19
RPCA_L,CAR_RPCA_S,69.2982456140351,16.06425137878284,0.8924697376105883,0.0356235082454681,3.9093661368087385,0.0010277407674943759,14.0,0.0010911547992459843,68.2017543859649,15.661027255576426,0.901267479262592,0.051292837451218765,4.9655881038796705,0.00010002561994876609,4.0,0.0003812632576865088,89.25438596491227,9.100216632125626,0.8740949169479503,0.01697030475971793,1.6892775191144187,0.10841270553547523,23.5,0.1212967884877785,19
RPCA_S,CAR,84.21052631578947,9.895187870770595,0.8888511113257312,0.03071534035065315,,,,,83.7719298245614,10.106770720879748,0.8949436567163194,0.0394463424790383,,,,,92.10526315789474,7.753363828799865,0.8237159226249231,0.0025803723063061675,,,,,19
RPCA_S,RPCA_L,64.91228070175438,20.693203705413065,0.9342470989945726,0.20727652228890475,4.642307659791976,0.00020252122170578212,3.0,0.0002086628409918629,62.5,20.232565955562798,0.9451126363013019,0.3252370595854393,5.399081964419488,3.946582832697883e-05,0.0,0.0002913323105097302,77.19298245614034,19.13557838453814,0.8584174445943931,0.00922400520534565,4.147746764747449,0.000604494795755052,6.0,0.0005171131088526786,19
RPCA_S,RPCA_S,72.14912280701753,13.921552849213931,0.9033837604093935,0.05603889552008044,4.735595517924905,0.00016507043621378072,2.0,0.0009708607894460898,72.14912280701755,11.151914153588702,0.9768068892769868,0.8992349680000762,4.252492326521526,0.000479005942387059,8.5,0.0020537800598472117,96.9298245614035,4.451268230303605,0.7154138841289361,8.534913873664184e-05,-2.7523902655533874,0.013105328917897665,5.0,0.012615667221804587,19
RPCA_S,CAR_RPCA_L,64.2543859649123,25.553656907536876,0.9066010551602263,0.06414292231733403,3.8724378171750313,0.0011158948033713754,6.0,0.0034700173445052066,64.25438596491229,24.86497856676906,0.8636385158898794,0.011273371283446123,3.7839047726362236,0.0013592785781806472,7.5,0.00285435479958608,77.41228070175438,22.38991055807056,0.8642594273802892,0.01154743308356644,3.4430732668833466,0.0029009614382744277,0.0,0.0032989353588360605,19
RPCA_S,CAR_RPCA_S,72.80701754385966,14.70770406763791,0.8261778795377106,0.00281510174092502,4.28241879971902,0.0004482356351597995,8.5,0.0007846383992671929,70.83333333333333,15.174424466672098,0.7903294786345425,0.0008298472314193741,4.168457740393235,0.0005772947014452989,2.5,0.0002918631488128044,92.76315789473685,7.003824308189173,0.8608586282643587,0.010128166570429071,-0.34287269299175765,0.7356659021933929,45.0,0.6344078526544417,19
CAR_RPCA_L,CAR,84.21052631578947,9.895187870770595,0.8888511113257312,0.03071534035065315,,,,,83.7719298245614,10.106770720879748,0.8949436567163194,0.0394463424790383,,,,,92.10526315789474,7.753363828799865,0.8237159226249231,0.0025803723063061675,,,,,19
CAR_RPCA_L,RPCA_L,72.58771929824562,14.45373425726674,0.9025629743186102,0.05414629298940956,3.7910909597569207,0.001337685362491225,17.5,0.0029176915181205964,72.36842105263158,13.328571402651532,0.961501557025804,0.6022963180506504,4.44446248192588,0.0003131262649203714,12.0,0.0012866754619108157,83.33333333333334,12.389865694583802,0.8991578489235157,0.04697570179401466,4.358596273752888,0.00037861116740406814,8.0,0.0011486893457190153,19
CAR_RPCA_L,RPCA_S,73.02631578947367,11.420365409027665,0.9003588138886198,0.04938489401477328,4.02492235949962,0.0007944876741378365,12.0,0.0036333538638050437,72.5877192982456,12.190300096216925,0.9188422665912598,0.1077264416152699,3.8749702558398242,0.0011096148095682656,14.5,0.003217827747395911,91.44736842105263,8.051561294160447,0.851933148404466,0.007213533346465573,0.29417420270727573,0.7719902005661945,43.5,0.8858594632960994,19
CAR_RPCA_L,CAR_RPCA_L,79.16666666666666,12.609172378478114,0.9098390017095066,0.07352578520655065,2.0338149197296764,0.056980617998164146,19.5,0.12492280125091856,79.16666666666666,11.86239327745484,0.9162906885882833,0.0966482003347429,2.3174924622497857,0.032456965933077,7.5,0.0408312056770376,94.07894736842105,6.5275772219900094,0.8141174234150514,0.0018461418564786098,-2.2819164877669946,0.034879991379496524,0.0,0.04122683333716368,19
CAR_RPCA_L,CAR_RPCA_S,76.31578947368422,13.656489014859883,0.8905706587147454,0.03295283309506452,2.3015218280076426,0.0335247180536166,46.0,0.04810118783430365,74.99999999999999,15.765088382115286,0.8470629909199789,0.006011733424806061,2.3791547571544327,0.02862407386400104,28.5,0.040258827350706565,90.35087719298247,8.76644565408188,0.8419218440179749,0.004970601802193909,0.8270946201546925,0.4190135929456361,57.5,0.5832412441407857,19
CAR_RPCA_S,CAR,84.21052631578947,9.895187870770595,0.8888511113257312,0.03071534035065315,,,,,83.7719298245614,10.106770720879748,0.8949436567163194,0.0394463424790383,,,,,92.10526315789474,7.753363828799865,0.8237159226249231,0.0025803723063061675,,,,,19
