Maximized_for_Method,Preprocessing_Method,LS_Mean,LS_Std,LS_Shapiro_Stat,LS_Shapiro_Pval,LS_Ttest_Stat,LS_Ttest_Pval,LS_Wilcoxon_Stat,LS_Wilcoxon_Pval,LDA_Mean,LDA_Std,LDA_Shapiro_Stat,LDA_Shapiro_Pval,LDA_Ttest_Stat,LDA_Ttest_Pval,LDA_Wilcoxon_Stat,LDA_Wilcoxon_Pval,SVM_Mean,SVM_Std,SVM_Shapiro_Stat,SVM_Shapiro_Pval,SVM_Ttest_Stat,SVM_Ttest_Pval,SVM_Wilcoxon_Stat,SVM_Wilcoxon_Pval,Num_Subjects
RPCA_L,CAR,60.30701754385965,10.761266795074825,0.9554898313632118,0.4871723550409185,,,,,58.114035087719294,12.929300853494452,0.9614737191491805,0.6017361317697909,,,,,78.0701754385965,13.907728066410463,0.9378142223648008,0.24075686566592885,,,,,19
RPCA_L,RPCA_L,72.80701754385963,9.401732943081589,0.9605681590722938,0.5836252001819284,-4.655755184503172,0.0001966307644113779,6.0,0.0008274969892450981,70.83333333333333,10.206207261596575,0.9784571815703736,0.9229891048357938,-4.043232887359506,0.0007627487791749006,11.0,0.0019028045043725866,89.69298245614034,8.152469427825046,0.9198729256584907,0.11255765626705909,-4.341929178750916,0.000392846394313852,10.0,0.001607081378246535,19
RPCA_L,RPCA_S,46.92982456140351,20.628028098780433,0.7914117896680098,0.0008598231557996043,2.1897723837841014,0.04195431160933536,37.0,0.060958560401008645,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,54.824561403508774,26.46521902025542,0.7657555773747051,0.000378823653448203,2.905836845996537,0.00942579327692895,35.0,0.027783028412190592,19
RPCA_L,CAR_RPCA_L,73.46491228070174,9.861108401718035,0.9475598789947715,0.35886783412473666,-4.2309044525004165,0.0005025182269454305,17.0,0.002796821924102997,71.9298245614035,12.378215606728144,0.9708022488209188,0.7923893804095794,-3.3648222131561383,0.003449951888109223,24.5,0.004512064530323532,91.00877192982458,7.436765332374197,0.9131344899130777,0.08452991664740023,-5.431390245600109,3.685328732595579e-05,0.0,0.0004243602206665984,19
RPCA_L,CAR_RPCA_S,45.39473684210525,19.208323193384377,0.8469881121489349,0.005995007791396062,2.5221731469237563,0.021301886829513422,24.0,0.022803656006476766,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,56.35964912280702,27.451726005765074,0.7516626909396306,0.0002459101873655882,2.6470420020679177,0.01639101101113454,42.0,0.05780932754717679,19
RPCA_S,CAR,60.30701754385965,10.761266795074825,0.9554898313632118,0.4871723550409185,,,,,58.114035087719294,12.929300853494452,0.9614737191491805,0.6017361317697909,,,,,78.0701754385965,13.907728066410463,0.9378142223648008,0.24075686566592885,,,,,19
RPCA_S,RPCA_L,54.166666666666664,24.295632895188753,0.9292317500471505,0.16763410243671525,1.1064130765250477,0.2831160154594017,61.5,0.29569749272580825,54.605263157894726,25.57435041598816,0.9237042706416155,0.13250656472975003,0.6014112132391056,0.5550655397651494,83.0,0.6289539396576465,61.84210526315789,29.901860612384755,0.8761246066205562,0.018392979212971724,2.2208885331554487,0.039429762660317336,47.0,0.09337004155359772,19
RPCA_S,RPCA_S,66.66666666666666,12.536496428031976,0.927347608326102,0.15473476021717036,-2.299046438230351,0.03369310263946608,25.0,0.046649186749128296,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,89.91228070175438,8.999247600299645,0.8863616289053476,0.02775418658735425,-4.0976562750158285,0.0006757355454369046,9.5,0.001474381320485359,19
RPCA_S,CAR_RPCA_L,54.166666666666664,24.295632895188753,0.9292317500471505,0.16763410243671525,1.1064130765250477,0.2831160154594017,61.5,0.29569749272580825,54.605263157894726,25.57435041598816,0.9237042706416155,0.13250656472975003,0.6014112132391056,0.5550655397651494,83.0,0.6289539396576465,61.84210526315789,29.901860612384755,0.8761246066205562,0.018392979212971724,2.2208885331554487,0.039429762660317336,47.0,0.09337004155359772,19
RPCA_S,CAR_RPCA_S,66.66666666666666,12.536496428031976,0.927347608326102,0.15473476021717036,-2.299046438230351,0.03369310263946608,25.0,0.046649186749128296,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,89.91228070175438,8.999247600299645,0.8863616289053476,0.02775418658735425,-4.0976562750158285,0.0006757355454369046,9.5,0.001474381320485359,19
CAR_RPCA_L,CAR,60.30701754385965,10.761266795074825,0.9554898313632118,0.4871723550409185,,,,,58.114035087719294,12.929300853494452,0.9614737191491805,0.6017361317697909,,,,,78.0701754385965,13.907728066410463,0.9378142223648008,0.24075686566592885,,,,,19
CAR_RPCA_L,RPCA_L,73.46491228070174,9.861108401718035,0.9475598789947715,0.35886783412473666,-4.2309044525004165,0.0005025182269454305,17.0,0.002796821924102997,71.9298245614035,12.378215606728144,0.9708022488209188,0.7923893804095794,-3.3648222131561383,0.003449951888109223,24.5,0.004512064530323532,91.00877192982458,7.436765332374197,0.9131344899130777,0.08452991664740023,-5.431390245600109,3.685328732595579e-05,0.0,0.0004243602206665984,19
CAR_RPCA_L,RPCA_S,45.39473684210525,19.208323193384377,0.8469881121489349,0.005995007791396062,2.5221731469237563,0.021301886829513422,24.0,0.022803656006476766,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,56.35964912280702,27.451726005765074,0.7516626909396306,0.0002459101873655882,2.6470420020679177,0.01639101101113454,42.0,0.05780932754717679,19
CAR_RPCA_L,CAR_RPCA_L,73.46491228070174,9.861108401718035,0.9475598789947715,0.35886783412473666,-4.2309044525004165,0.0005025182269454305,17.0,0.002796821924102997,71.9298245614035,12.378215606728144,0.9708022488209188,0.7923893804095794,-3.3648222131561383,0.003449951888109223,24.5,0.004512064530323532,91.00877192982458,7.436765332374197,0.9131344899130777,0.08452991664740023,-5.431390245600109,3.685328732595579e-05,0.0,0.0004243602206665984,19
CAR_RPCA_L,CAR_RPCA_S,45.39473684210525,19.208323193384377,0.8469881121489349,0.005995007791396062,2.5221731469237563,0.021301886829513422,24.0,0.022803656006476766,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,56.35964912280702,27.451726005765074,0.7516626909396306,0.0002459101873655882,2.6470420020679177,0.01639101101113454,42.0,0.05780932754717679,19
CAR_RPCA_S,CAR,60.30701754385965,10.761266795074825,0.9554898313632118,0.4871723550409185,,,,,58.114035087719294,12.929300853494452,0.9614737191491805,0.6017361317697909,,,,,78.0701754385965,13.907728066410463,0.9378142223648008,0.24075686566592885,,,,,19
CAR_RPCA_S,RPCA_L,54.166666666666664,24.295632895188753,0.9292317500471505,0.16763410243671525,1.1064130765250477,0.2831160154594017,61.5,0.29569749272580825,54.605263157894726,25.57435041598816,0.9237042706416155,0.13250656472975003,0.6014112132391056,0.5550655397651494,83.0,0.6289539396576465,61.84210526315789,29.901860612384755,0.8761246066205562,0.018392979212971724,2.2208885331554487,0.039429762660317336,47.0,0.09337004155359772,19
CAR_RPCA_S,RPCA_S,66.66666666666666,12.536496428031976,0.927347608326102,0.15473476021717036,-2.299046438230351,0.03369310263946608,25.0,0.046649186749128296,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,89.91228070175438,8.999247600299645,0.8863616289053476,0.02775418658735425,-4.0976562750158285,0.0006757355454369046,9.5,0.001474381320485359,19
CAR_RPCA_S,CAR_RPCA_L,54.166666666666664,24.295632895188753,0.9292317500471505,0.16763410243671525,1.1064130765250477,0.2831160154594017,61.5,0.29569749272580825,54.605263157894726,25.57435041598816,0.9237042706416155,0.13250656472975003,0.6014112132391056,0.5550655397651494,83.0,0.6289539396576465,61.84210526315789,29.901860612384755,0.8761246066205562,0.018392979212971724,2.2208885331554487,0.039429762660317336,47.0,0.09337004155359772,19
CAR_RPCA_S,CAR_RPCA_S,66.66666666666666,12.536496428031976,0.927347608326102,0.15473476021717036,-2.299046438230351,0.03369310263946608,25.0,0.046649186749128296,25.0,0.0,1.0,1.0,10.866090453752767,2.4511280657584795e-09,0.0,0.00012855346761721207,89.91228070175438,8.999247600299645,0.8863616289053476,0.02775418658735425,-4.0976562750158285,0.0006757355454369046,9.5,0.001474381320485359,19
