Preprocessing Method,Least Squares Accuracy,LDA Accuracy,SVM Accuracy
CAR,41.66666666666667,37.5,54.166666666666664
RPCA_L,45.83333333333333,45.83333333333333,45.83333333333333
RPCA_S,33.33333333333333,33.33333333333333,25.0
CAR_RPCA_L,41.66666666666667,45.83333333333333,79.16666666666666
CAR_RPCA_S,29.166666666666668,29.166666666666668,45.83333333333333
